Bag,Sect,Depth top [m],Depth bot [m],Depth ice/snow [m],Grains [#] (Fabric Analyzer G50 (FA)),Grain size mean [pixel] (Fabric Analyzer G50 (FA)),"Sum vector norm (sum_vector_norm, Fabric Analy...)",Pref orient [%] (Fabric Analyzer G50 (FA)),Pref orient [%] (Weighted),Conc param (Fabric Analyzer G50 (FA)),Conc param (Weighted),Spherical apt [deg] (Fabric Analyzer G50 (FA)),Spherical apt [deg] (Weighted),EVA1 (Fabric Analyzer G50 (FA)),EVA1 (Weighted),EVA2 (Fabric Analyzer G50 (FA)),EVA2 (Weighted),EVA3 (Fabric Analyzer G50 (FA)),EVA3 (Weighted),Woodcock param (Fabric Analyzer G50 (FA)),Woodcock param (Weighted),Grain area [mm**2] (Fabric Analyzer G50 (FA))
203,1,111.1,111.19,111.15,814,9846,0.661071,32.2143,35.8977,2.95047,3.11618,55.4186,53.2383,0.206199,0.177432,0.278516,0.282642,0.515285,0.539927,2.0465,1.39017,3.9384
203,2,111.19,111.28,111.24,403,9539,0.658543,31.7086,35.6189,2.92863,3.09879,55.7293,53.4537,0.212429,0.209158,0.256304,0.244297,0.531267,0.546545,3.88216,5.18511,3.8156
203,3,111.28,111.38,111.33,1320,9679,0.648016,29.6032,33.6919,2.84104,3.01394,57.0376,54.5485,0.210208,0.190255,0.284137,0.273131,0.505654,0.536613,1.91266,1.86767,3.8716
216,1,118.25,118.34,118.3,1418,7642,0.664832,32.9664,37.5131,2.98358,3.19841,54.9589,52.2571,0.223402,0.203068,0.260919,0.248231,0.515679,0.548701,4.38852,3.94977,3.0568
216,2,118.34,118.43,118.39,480,7117,0.681443,36.2887,38.2969,3.13916,3.23458,52.958,51.8441,0.196948,0.186845,0.272547,0.261362,0.530505,0.551792,2.05011,2.22647,2.8468
216,3,118.43,118.53,118.48,532,2695,0.637984,27.5967,36.2382,2.7623,3.13078,58.3098,53.0596,0.235517,0.215122,0.27496,0.244015,0.489522,0.540863,3.72514,6.31587,1.078
216,4,118.53,118.62,118.57,1196,9812,0.638595,27.7191,32.0899,2.76698,2.94261,58.2315,55.5298,0.220991,0.228057,0.298551,0.258792,0.480457,0.513151,1.58167,5.41436,3.9248
216,5,118.62,118.71,118.66,1293,7962,0.649059,29.8117,40.8603,2.84948,3.37921,56.9069,50.2929,0.213433,0.195048,0.290115,0.240998,0.496452,0.563954,1.75013,4.01891,3.1848
216,6,118.71,118.8,118.75,1554,7241,0.667404,33.4809,39.1318,3.00665,3.28367,54.646,51.3002,0.21506,0.195271,0.261876,0.244303,0.523064,0.560426,3.51267,3.70623,2.8964
225,1,123.2,123.29,123.25,1381,7524,0.606203,21.2406,32.8657,2.53938,2.97695,62.5564,55.05,0.22923,0.20033,0.287237,0.268485,0.483533,0.531185,2.30872,2.33011,3.0096
